textDisplay,textOriginal,likeCount,publishedAt,updatedAt
トナカイの動画懐かしすぎた。もうそんなに経ったことに驚きが隠せない,トナカイの動画懐かしすぎた。もうそんなに経ったことに驚きが隠せない,0,2022-10-19T11:51:00Z,2022-10-19T11:51:00Z
あれだけ荒れたのにも関わらず、忘れられるスカイピース草,あれだけ荒れたのにも関わらず、忘れられるスカイピース草,2,2022-10-20T16:26:35Z,2022-10-20T16:26:35Z
3問目に関しては人当てるだけ当ててなぜ伸びないか考察しないの草,3問目に関しては人当てるだけ当ててなぜ伸びないか考察しないの草,1,2022-10-18T22:13:32Z,2022-10-18T22:13:32Z
28:00 虫さんめっちゃ眠そう。,28:00 虫さんめっちゃ眠そう。,2,2022-10-18T13:26:24Z,2022-10-18T13:26:24Z
この動画自体がハズレ動画になったら笑う,この動画自体がハズレ動画になったら笑う,2,2022-10-18T14:04:00Z,2022-10-18T14:04:00Z
21:59 ここから虫さんの表情全く変わってないの草,21:59 ここから虫さんの表情全く変わってないの草,74,2022-10-18T12:33:44Z,2022-10-18T12:34:10Z
改めて「東海オンエア」の動画が好きなんだって気付かされたわ,改めて「東海オンエア」の動画が好きなんだって気付かされたわ,1,2022-10-18T17:06:07Z,2022-10-18T17:06:07Z
芋掘りのやつめっちゃいいな,芋掘りのやつめっちゃいいな,0,2022-10-19T06:12:06Z,2022-10-19T06:12:06Z
24:52のとしを払うむしみつかわいい,24:52のとしを払うむしみつかわいい,6,2022-10-18T13:44:17Z,2022-10-18T13:44:17Z
よくこんな企画思いついたな笑,よくこんな企画思いついたな笑,0,2022-10-18T14:46:35Z,2022-10-18T14:46:35Z
なんかずっと見てられるんよな😂,なんかずっと見てられるんよな😂,1,2022-10-18T12:50:05Z,2022-10-18T12:50:05Z
ストラックアウトだけ3人無言多いのリアルだな笑笑寝たら即帰宅出てなかったらコメント欄もっと凄かったんだろうな…,"ストラックアウトだけ3人無言多いのリアルだな笑笑
寝たら即帰宅出てなかったらコメント欄もっと凄かったんだろうな…",0,2022-10-18T14:56:20Z,2022-10-18T14:56:20Z
最終問題で三納物語の激尖り動画、出てくると思ってたら違った,最終問題で三納物語の激尖り動画、出てくると思ってたら違った,7,2022-10-18T12:43:17Z,2022-10-18T12:43:17Z
ストラックアウト動画地獄すぎるだろw,ストラックアウト動画地獄すぎるだろw,5,2022-10-18T13:55:33Z,2022-10-18T13:55:33Z
最後の動画だけは本当に面白くなくてびっくりしたできるだけはずれ動画をてつゆめが面白くしようとしてるのにあんなの面白くないのすごすぎる,"最後の動画だけは本当に面白くなくてびっくりした
できるだけはずれ動画をてつゆめが面白くしようとしてるのにあんなの面白くないのすごすぎる",6,2022-10-18T13:20:03Z,2022-10-18T13:20:03Z
本当に攻めた動画出し続ける東海オンエアには敬意すら表したくなるレベル…,本当に攻めた動画出し続ける東海オンエアには敬意すら表したくなるレベル…,1,2022-10-18T14:43:20Z,2022-10-18T14:43:20Z
