textDisplay,textOriginal,likeCount,publishedAt,updatedAt
長年に渡ってこの人たちが何かをすると面白いって脳に擦り込まれてるお陰で普通に面白く感じてるから東海って凄い。完全に調教されてる,長年に渡ってこの人たちが何かをすると面白いって脳に擦り込まれてるお陰で普通に面白く感じてるから東海って凄い。完全に調教されてる,2578,2022-10-18T12:39:53Z,2022-10-18T12:39:53Z
東海オンエアに関して言えば、「本人達が楽しんでいるか」が大切だと思う。正直、頑張って思いついたネタを面白くしようと努力した動画よりも、意味は分からないが楽しそうな動画の方が僕は何度も見たくなります。,東海オンエアに関して言えば、「本人達が楽しんでいるか」が大切だと思う。正直、頑張って思いついたネタを面白くしようと努力した動画よりも、意味は分からないが楽しそうな動画の方が僕は何度も見たくなります。,1652,2022-10-18T12:38:53Z,2022-10-18T12:38:53Z
伸びてない動画を再現して概要欄にリンクまで貼って伸ばそうとしてるの優しすぎるな,伸びてない動画を再現して概要欄にリンクまで貼って伸ばそうとしてるの優しすぎるな,197,2022-10-18T22:27:55Z,2022-10-18T22:27:55Z
季節が大事だとわかっててもちょっと前夏なのに雪山の動画出してくれた東海好き,季節が大事だとわかっててもちょっと前夏なのに雪山の動画出してくれた東海好き,1225,2022-10-18T13:00:54Z,2022-10-18T13:00:54Z
としみつ、理論派が多い東海だとおバカチームになりがちだけど野生の勘というか直感の鋭さはピカイチだと思う。感受性が豊かで人の思考とか感情を本人と同じタイミングで同じように感じてて、それがポロッと口から出ちゃうところが未来人たる所以なんだと思ってる。勝手に。,としみつ、理論派が多い東海だとおバカチームになりがちだけど野生の勘というか直感の鋭さはピカイチだと思う。感受性が豊かで人の思考とか感情を本人と同じタイミングで同じように感じてて、それがポロッと口から出ちゃうところが未来人たる所以なんだと思ってる。勝手に。,3165,2022-10-18T12:41:47Z,2022-10-18T12:41:47Z
さつまいもの季節は秋＝秋以外での投稿はバズらないと考えたとしみつのカンの鋭さ素晴らしすぎる,さつまいもの季節は秋＝秋以外での投稿はバズらないと考えたとしみつのカンの鋭さ素晴らしすぎる,585,2022-10-18T13:50:54Z,2022-10-18T13:50:54Z
体感久しぶりにてつやが丁寧に導入やってくれて嬉しい。,体感久しぶりにてつやが丁寧に導入やってくれて嬉しい。,9,2022-10-19T16:38:36Z,2022-10-19T16:38:36Z
24時間にらめっこ全然伸びてないけど死ぬほど笑わせてもらったから結構好き,24時間にらめっこ全然伸びてないけど死ぬほど笑わせてもらったから結構好き,548,2022-10-18T14:44:47Z,2022-10-18T14:44:47Z
忖度なく辛口コメントする虫さん好き,忖度なく辛口コメントする虫さん好き,512,2022-10-18T14:17:04Z,2022-10-18T14:17:04Z
全問正解できたわいすげぇって思ったけどここまで再現できるてつやたちはやっぱすげぇなあ💭,"全問正解できたわいすげぇって思ったけど
ここまで再現できるてつやたちはやっぱすげぇなあ💭",33,2022-10-18T13:53:20Z,2022-10-18T13:53:20Z
にらめっこの動画、ちょうど昨日初めて前後編見たけど笑っちゃダメな空気が面白くて終始笑ったし、何となく見てない人多いと思うからぜひ見てほしい！！,にらめっこの動画、ちょうど昨日初めて前後編見たけど笑っちゃダメな空気が面白くて終始笑ったし、何となく見てない人多いと思うからぜひ見てほしい！！,63,2022-10-18T13:04:12Z,2022-10-18T13:04:12Z
酒飲んでて虫眼鏡の「絵葉書みたいな芋だな」でずっと笑ってる,酒飲んでて虫眼鏡の「絵葉書みたいな芋だな」でずっと笑ってる,823,2022-10-18T13:21:16Z,2022-10-18T13:21:16Z
誰の動画かわかんないのにやっすいちょけとか言っちゃう虫さん好き,誰の動画かわかんないのにやっすいちょけとか言っちゃう虫さん好き,2834,2022-10-18T12:33:05Z,2022-10-18T12:33:05Z
24時間にらめっこ、作業で使おうと思ったら面白くて前後編どっちも凝視してた思い出,24時間にらめっこ、作業で使おうと思ったら面白くて前後編どっちも凝視してた思い出,337,2022-10-18T12:50:23Z,2022-10-18T12:50:23Z
こんなにいくつも再現VTR作る労力すごいな,こんなにいくつも再現VTR作る労力すごいな,214,2022-10-18T20:39:36Z,2022-10-18T20:39:36Z
初手から元推しの動画さすがにすぐわかったの自分を褒めたい(笑)再現見て改めて動画にそのひとらしさって出るんだなあと思った！ネタもそうだし言い回しとか画角とか…！,"初手から元推しの動画さすがにすぐわかったの自分を褒めたい(笑)
再現見て改めて動画にそのひとらしさって出るんだなあと思った！ネタもそうだし言い回しとか画角とか…！",7,2022-10-19T11:08:54Z,2022-10-19T11:08:54Z
東海レベルの地位と面白さがあるからこそ出来る企画は尖ってて好き,東海レベルの地位と面白さがあるからこそ出来る企画は尖ってて好き,147,2022-10-18T12:43:15Z,2022-10-18T12:43:15Z
伸びてる伸びてない関係なく、動画でこんなに個性出るのすごいな,伸びてる伸びてない関係なく、動画でこんなに個性出るのすごいな,1727,2022-10-18T12:31:27Z,2022-10-18T12:31:27Z
東海のスポーツ挑戦系動画も達成できないことはあるけど、潔く「今回は達成できませんでした」って言ってくれるから気持ちよく見れるんだなあって思った。,東海のスポーツ挑戦系動画も達成できないことはあるけど、潔く「今回は達成できませんでした」って言ってくれるから気持ちよく見れるんだなあって思った。,10,2022-10-19T10:59:39Z,2022-10-19T10:59:39Z
動画のタイトル言うだけで内容をパッと言えちゃうとしみつめっちゃ好き🫶,動画のタイトル言うだけで内容をパッと言えちゃうとしみつめっちゃ好き🫶,183,2022-10-18T14:36:10Z,2022-10-18T14:36:10Z
「(水溜りボンドは)あんなにやっすいチョケはしないよな」虫さんの期待値高いのうれしいw,「(水溜りボンドは)あんなにやっすいチョケはしないよな」虫さんの期待値高いのうれしいw,304,2022-10-18T13:44:50Z,2022-10-18T13:44:50Z
やっぱこうやって見ると、全部てつやがやっててもそれぞれの特徴が何かしらあって面白い,やっぱこうやって見ると、全部てつやがやっててもそれぞれの特徴が何かしらあって面白い,80,2022-10-18T13:25:54Z,2022-10-18T13:25:54Z
芋の動画見たこと無かったけど、編集の仕方で誰か分かるの、編集技術すごい,芋の動画見たこと無かったけど、編集の仕方で誰か分かるの、編集技術すごい,318,2022-10-18T13:15:19Z,2022-10-18T13:15:19Z
東海オンエアって他のYouTuberがやらないような企画たくさんするから毎回見てて楽しいしほんとに飽きない笑笑,東海オンエアって他のYouTuberがやらないような企画たくさんするから毎回見てて楽しいしほんとに飽きない笑笑,8,2022-10-18T14:16:49Z,2022-10-18T14:16:49Z
はじめしゃちょーの動画の特徴すぐ察知するのが永遠の後輩で尊い,はじめしゃちょーの動画の特徴すぐ察知するのが永遠の後輩で尊い,21,2022-10-19T08:13:00Z,2022-10-19T08:13:00Z
こういういろんなYouTuberが知れる動画大好き！面白かったです(^^)　メタ企画いいですね〜何気に体張ってるてつやもすごい。,こういういろんなYouTuberが知れる動画大好き！面白かったです(^^)　メタ企画いいですね〜何気に体張ってるてつやもすごい。,10,2022-10-18T13:43:29Z,2022-10-18T13:43:29Z
はじめん誰が見ても自分が編集したって分かるの凄いな,はじめん誰が見ても自分が編集したって分かるの凄いな,995,2022-10-18T12:34:22Z,2022-10-18T12:34:22Z
他のYouTuberの伸びてない動画を挙げて視聴者に元動画を再生してもらうきっかけ作りの良心企画加えて完璧なフォローもして相手方が嫌な思いしないように立ち回ってんのが東海が人気な理由の1つ,"他のYouTuberの伸びてない動画を挙げて視聴者に元動画を再生してもらうきっかけ作りの良心企画

加えて完璧なフォローもして相手方が嫌な思いしないように立ち回ってんのが東海が人気な理由の1つ",16,2022-10-18T13:53:19Z,2022-10-18T13:53:19Z
伸びてない動画を連結させたら尺は伸びるという天才的な企画,伸びてない動画を連結させたら尺は伸びるという天才的な企画,102,2022-10-18T15:38:02Z,2022-10-18T15:38:02Z
小気味良く入る虫さんのぴりりな毒舌やはり好きですわ〜,"小気味良く入る虫さんのぴりりな毒舌
やはり好きですわ〜",197,2022-10-18T12:37:35Z,2022-10-18T12:37:35Z
自分たちのはずれ動画を最初に紹介して「みんな一つや二つはずれ動画あるんだよ」ってのを示してるあたり、やっぱプロだわ。笑笑,自分たちのはずれ動画を最初に紹介して「みんな一つや二つはずれ動画あるんだよ」ってのを示してるあたり、やっぱプロだわ。笑笑,15,2022-10-19T02:43:10Z,2022-10-19T02:43:10Z
正解発表で本人の動画を出さないことでその動画の再生数を伸ばせるという。素晴らしい動画すぎる。本物との比較気になって見ちゃうもんね、すげえや,正解発表で本人の動画を出さないことでその動画の再生数を伸ばせるという。素晴らしい動画すぎる。本物との比較気になって見ちゃうもんね、すげえや,12,2022-10-19T03:47:26Z,2022-10-19T03:47:26Z
今日もつらくて明日が来なければいいなって思ってたけど毎日東海の動画見る度に気づいたら笑顔になってる、だいすき,今日もつらくて明日が来なければいいなって思ってたけど毎日東海の動画見る度に気づいたら笑顔になってる、だいすき,66,2022-10-18T16:04:15Z,2022-10-18T16:04:15Z
3問目までは「おもしろいのになぁ」とかわりかし反応いいのに最後だけ白けてるのがリアルw,3問目までは「おもしろいのになぁ」とかわりかし反応いいのに最後だけ白けてるのがリアルw,39,2022-10-19T02:23:14Z,2022-10-19T02:23:14Z
伸びてない動画をまとめてまた見られるようにするのすごいなw,伸びてない動画をまとめてまた見られるようにするのすごいなw,26,2022-10-18T13:05:07Z,2022-10-18T13:05:07Z
こうやって伸びなかった動画救済してるの好き,こうやって伸びなかった動画救済してるの好き,1971,2022-10-18T12:25:37Z,2022-10-18T12:25:37Z
まじで再生回数とか気にせず自分たちが楽しく面白いと思った動画をとり続けてほしい笑それで再生回数が伸びなかったとしても、自分たちが面白かったからいいや精神で動画を出し続けてほしい🤣,"まじで再生回数とか気にせず自分たちが楽しく面白いと思った動画をとり続けてほしい笑
それで再生回数が伸びなかったとしても、自分たちが面白かったからいいや精神で動画を出し続けてほしい🤣",20,2022-10-18T17:47:47Z,2022-10-18T17:47:47Z
にらめっこ後編最近初めて見たけど「参りました」でめちゃくちゃ笑った　失敗作でもあんなに面白いシーンあるのすごい,にらめっこ後編最近初めて見たけど「参りました」でめちゃくちゃ笑った　失敗作でもあんなに面白いシーンあるのすごい,46,2022-10-18T12:41:54Z,2022-10-18T12:41:54Z
この動画をあげることで再生数を間接的に増やしてあげる優しさ,"この動画をあげることで
再生数を間接的に増やしてあげる優しさ",45,2022-10-18T14:59:59Z,2022-10-18T14:59:59Z
酒飲んでて虫眼鏡の「絵葉書みたいな芋だな」でずっと笑ってる,酒飲んでて虫眼鏡の「絵葉書みたいな芋だな」でずっと笑ってる,4,2022-10-18T13:21:09Z,2022-10-18T13:21:09Z
虫さんが暴走する回は白テロップ大活躍でおもしろいです笑笑視聴者はやっぱり毒舌メガネが好きなんだ🙏,"虫さんが暴走する回は白テロップ大活躍でおもしろいです笑笑
視聴者はやっぱり毒舌メガネが好きなんだ🙏",99,2022-10-18T12:35:56Z,2022-10-18T12:35:56Z
東海とガードマン一切コラボしないのに画面上ではコラボする関係好き！もちろんいつかはコラボして欲しい！,東海とガードマン一切コラボしないのに画面上ではコラボする関係好き！もちろんいつかはコラボして欲しい！,14,2022-10-18T14:11:10Z,2022-10-18T14:11:10Z
ちょうど昨日、畑メンバーがサツマイモ100個を食べてる動画を後追いで見てたからビックリ。問題として再現ビデオ撮影が大変そうだし、ゆめまるさんの演技の安定感と、虫さんのストレートな言い方、最高👏,ちょうど昨日、畑メンバーがサツマイモ100個を食べてる動画を後追いで見てたからビックリ。問題として再現ビデオ撮影が大変そうだし、ゆめまるさんの演技の安定感と、虫さんのストレートな言い方、最高👏,14,2022-10-18T14:53:02Z,2022-10-18T14:53:02Z
東海オンエアが作りあげてきた地位･人脈とか雰囲気、それぞれの役割とか端々から感じられて、なんか分からんけど歴史感じた,東海オンエアが作りあげてきた地位･人脈とか雰囲気、それぞれの役割とか端々から感じられて、なんか分からんけど歴史感じた,14,2022-10-18T13:11:22Z,2022-10-18T13:11:22Z
季節感を大事にするとしみつ,季節感を大事にするとしみつ,15,2022-10-18T15:58:34Z,2022-10-18T15:58:34Z
本家の芋の動画結構好きで見てたので、あまりにも完璧に再現されてるのすっごく感動しました…,本家の芋の動画結構好きで見てたので、あまりにも完璧に再現されてるのすっごく感動しました…,23,2022-10-18T23:02:48Z,2022-10-18T23:02:48Z
数年前パロディ動画出してめっちゃネタにしてたのを再び繰り返すの大好きすぎる。ずっと尖ったままでいてくれ東海オンエア,"数年前パロディ動画出してめっちゃネタにしてたのを再び繰り返すの大好きすぎる。
ずっと尖ったままでいてくれ東海オンエア",37,2022-10-18T14:55:15Z,2022-10-18T14:55:15Z
なんか変わらず尖ってる虫さんの発言ツボ過ぎてずっと笑ってたw,なんか変わらず尖ってる虫さんの発言ツボ過ぎてずっと笑ってたw,7,2022-10-18T15:58:34Z,2022-10-18T15:58:34Z
とあるグループも好きだからりょうくんとのコラボも嬉しかったけどまた出てきて嬉しい💕,とあるグループも好きだからりょうくんとのコラボも嬉しかったけどまた出てきて嬉しい💕,6,2022-10-18T13:37:19Z,2022-10-18T13:37:19Z
24時間にらめっこの特に後編、控えめに言って20回以上は見てます…泣大好き,24時間にらめっこの特に後編、控えめに言って20回以上は見てます…泣大好き,14,2022-10-18T16:04:46Z,2022-10-18T16:04:46Z
第一問のとしみつの分析能力の高さはグッズ担当としてもすごく優秀なんだろなぁ,第一問のとしみつの分析能力の高さはグッズ担当としてもすごく優秀なんだろなぁ,4,2022-10-19T09:59:24Z,2022-10-19T09:59:24Z
やっすいちょけ発言で虫さんの水溜りへの信頼を感じたけどそれより重い棘他方にばら撒いてて笑う,やっすいちょけ発言で虫さんの水溜りへの信頼を感じたけどそれより重い棘他方にばら撒いてて笑う,37,2022-10-19T00:38:24Z,2022-10-19T00:38:24Z
紹介してみんなの再生数を伸ばしてあげる優しい動画,紹介してみんなの再生数を伸ばしてあげる優しい動画,4,2022-10-18T14:01:31Z,2022-10-18T14:01:31Z
東海みたいに本人たちが楽しんでるのをこっちも楽しんで見てる、みたいなのがやっぱり本質なんだよね,東海みたいに本人たちが楽しんでるのをこっちも楽しんで見てる、みたいなのがやっぱり本質なんだよね,4,2022-10-18T15:19:48Z,2022-10-18T15:19:48Z
一本目のはじめの動画感やばいなやっぱ人気あるユーチューバーってすぐわかる特徴があるな,"一本目のはじめの動画感やばいな
やっぱ人気あるユーチューバーってすぐわかる特徴があるな",29,2022-10-18T13:53:58Z,2022-10-18T13:54:09Z
ストラックアウトのやつ、退屈すぎて虫さんととしみつに加えてりょうまで珍しく真顔になってて笑っちゃったｗ,ストラックアウトのやつ、退屈すぎて虫さんととしみつに加えてりょうまで珍しく真顔になってて笑っちゃったｗ,3,2022-10-20T06:01:26Z,2022-10-20T06:01:26Z
虫さんの言う通りやっすいちょけすぎて一瞬で空平和って分かった,虫さんの言う通りやっすいちょけすぎて一瞬で空平和って分かった,5,2022-10-19T03:55:07Z,2022-10-19T03:55:07Z
これ全部再現する体力すごいな笑,これ全部再現する体力すごいな笑,8,2022-10-18T14:27:39Z,2022-10-18T14:27:39Z
水溜り？って言った時虫さんが水溜りはそんなやっすいちょけはしないって言ったのなんか好き、愛を感じた笑,水溜り？って言った時虫さんが水溜りはそんなやっすいちょけはしないって言ったのなんか好き、愛を感じた笑,23,2022-10-19T08:32:41Z,2022-10-19T08:32:41Z
8:12秋に動画出てないのを言い当ててちょっと誇らしげなとしみつ可愛い,"8:12
秋に動画出てないのを言い当ててちょっと誇らしげなとしみつ可愛い",99,2022-10-18T13:51:11Z,2022-10-18T15:16:40Z
動画が伸びてないのは不名誉だけどヘラヘラ三銃士ファンとしてはここで取り上げてくれてるのがめちゃくちゃ嬉しい😂,動画が伸びてないのは不名誉だけどヘラヘラ三銃士ファンとしてはここで取り上げてくれてるのがめちゃくちゃ嬉しい😂,9,2022-10-19T10:59:48Z,2022-10-19T11:00:56Z
他のYouTuberの企画をそのままやることで楽かと思いきや一本の動画で数本分再現するの労力やばいw,他のYouTuberの企画をそのままやることで楽かと思いきや一本の動画で数本分再現するの労力やばいw,50,2022-10-18T13:03:32Z,2022-10-18T13:03:32Z
これをきっかけに伸びてほしい...,これをきっかけに伸びてほしい...,1,2022-10-21T07:15:48Z,2022-10-21T07:15:48Z
人気YouTuberの動画たち、再生数が少なくてもめちゃくちゃ面白い事を分からせてくる,人気YouTuberの動画たち、再生数が少なくてもめちゃくちゃ面白い事を分からせてくる,5,2022-10-18T14:11:49Z,2022-10-18T14:11:49Z
虫さんのやっすいちょけっていう辛辣なコメント、同じこと思ってたから笑ったというか、動画ってほんまに個性出るんやねヘラヘラ三銃士は見たことないからわからんかったけど他3組はすぐわかった,"虫さんのやっすいちょけっていう辛辣なコメント、同じこと思ってたから笑った

というか、動画ってほんまに個性出るんやね
ヘラヘラ三銃士は見たことないからわからんかったけど他3組はすぐわかった",2,2022-10-18T16:10:47Z,2022-10-18T16:10:47Z
ヘラヘラの動画で「おいし〜ヤミー感謝感謝」はいろんな人へのイジリを込めていててつやしか出来ない😂😂,ヘラヘラの動画で「おいし〜ヤミー感謝感謝」はいろんな人へのイジリを込めていててつやしか出来ない😂😂,113,2022-10-18T13:22:15Z,2022-10-18T13:22:15Z
はじめんに似せた編集が出来てることが凄い,はじめんに似せた編集が出来てることが凄い,111,2022-10-18T12:53:39Z,2022-10-18T12:53:39Z
24時間にらめっこの後編、めちゃくちゃ感動するのになあ。,24時間にらめっこの後編、めちゃくちゃ感動するのになあ。,3,2022-10-19T14:25:59Z,2022-10-19T14:25:59Z
最近30分動画めちゃ多いのになんで飛ばさずに見れるのか(゜-゜)これは東海中毒だ(゜-゜),最近30分動画めちゃ多いのになんで飛ばさずに見れるのか(゜-゜)これは東海中毒だ(゜-゜),1,2022-10-18T20:41:59Z,2022-10-18T20:41:59Z
やっすいちょけ考察合ってて草,やっすいちょけ考察合ってて草,33,2022-10-18T14:51:40Z,2022-10-18T14:51:40Z
単純におもろい動画４本上がった気分で最高なんですが笑笑,単純におもろい動画４本上がった気分で最高なんですが笑笑,14,2022-10-18T13:06:03Z,2022-10-18T13:07:43Z
やっぱある程度有名なYouTuberて編集や動画の流れに個性あるんだな〜。,やっぱある程度有名なYouTuberて編集や動画の流れに個性あるんだな〜。,4,2022-10-18T14:34:29Z,2022-10-18T14:34:29Z
芋100個繋がってるドッキリの後結局芋100個大食いで再生数取ってるからすげーよな,芋100個繋がってるドッキリの後結局芋100個大食いで再生数取ってるからすげーよな,33,2022-10-18T13:07:52Z,2022-10-18T13:07:52Z
定期的に昔のbgmのswing cityとか使ってくれるてつや好き,定期的に昔のbgmのswing cityとか使ってくれるてつや好き,3,2022-10-18T15:27:31Z,2022-10-18T15:27:31Z
はじめんのやつ以外、東海が救済しても本家の動画を観てみたい気持ちが1ミリも湧かなくて逆にすごい,はじめんのやつ以外、東海が救済しても本家の動画を観てみたい気持ちが1ミリも湧かなくて逆にすごい,31,2022-10-19T00:30:54Z,2022-10-19T00:30:54Z
1番初めの再現動画、ドッキリうまくいかなくて頭抱えて叫ぶ感じがめちゃくちゃ本人を感じたらやっぱり当たってた,1番初めの再現動画、ドッキリうまくいかなくて頭抱えて叫ぶ感じがめちゃくちゃ本人を感じたらやっぱり当たってた,1,2022-10-18T13:33:41Z,2022-10-18T13:33:41Z
いまプレミア公開で観てるんだけど、4万人のファンと一緒にこの面白さを楽しめてるの本当すごいことだと思う,いまプレミア公開で観てるんだけど、4万人のファンと一緒にこの面白さを楽しめてるの本当すごいことだと思う,404,2022-10-18T12:15:15Z,2022-10-18T12:15:15Z
ずーっと面白い動画を出し続ける東海オンエアに脱帽です！！,ずーっと面白い動画を出し続ける東海オンエアに脱帽です！！,1,2022-10-18T13:38:42Z,2022-10-18T13:38:42Z
水ボンのこと1目置いてる虫さんまじ好き,水ボンのこと1目置いてる虫さんまじ好き,64,2022-10-18T14:30:54Z,2022-10-18T14:30:54Z
クイズ形式やりすぎていよいよ哲学の域に透達してて草,クイズ形式やりすぎていよいよ哲学の域に透達してて草,45,2022-10-18T14:08:20Z,2022-10-18T14:08:20Z
ゆめまる演技うめえなww  怒るとこはかわいいけど,ゆめまる演技うめえなww  怒るとこはかわいいけど,53,2022-10-18T12:52:22Z,2022-10-18T12:53:43Z
普通に動画を紹介して救済じゃなくて、自分たちで手間と時間をかけて再現してるところが本当にすごい🥲,普通に動画を紹介して救済じゃなくて、自分たちで手間と時間をかけて再現してるところが本当にすごい🥲,1,2022-10-19T09:08:00Z,2022-10-19T09:08:00Z
こうして取り上げることによって伸ばす東海優しい,こうして取り上げることによって伸ばす東海優しい,3,2022-10-18T18:36:21Z,2022-10-18T18:36:21Z
飽き性過ぎて継続して続けてるものほぼないけど東海だけは絶対みてる🫶🏻🫶🏻,飽き性過ぎて継続して続けてるものほぼないけど東海だけは絶対みてる🫶🏻🫶🏻,2,2022-10-18T15:01:04Z,2022-10-18T15:01:04Z
多方面を敵に回す鬼畜眼鏡おって草,多方面を敵に回す鬼畜眼鏡おって草,21,2022-10-18T15:21:02Z,2022-10-18T15:21:02Z
としくんが動画のセリフ覚えてるの愛を感じる,としくんが動画のセリフ覚えてるの愛を感じる,12,2022-10-18T13:54:01Z,2022-10-18T13:54:01Z
未来人としみつの存在にてつやが気付き始めてるの草,未来人としみつの存在にてつやが気付き始めてるの草,58,2022-10-18T13:01:19Z,2022-10-18T13:01:19Z
ヘラヘラのケニア費用対効果おわってておもろいのにさおりんのくっちゃべ動画のほうが数倍伸びててもっとおもろい,ヘラヘラのケニア費用対効果おわってておもろいのにさおりんのくっちゃべ動画のほうが数倍伸びててもっとおもろい,9,2022-10-18T16:12:49Z,2022-10-18T16:12:49Z
失敗や偽物系は伸びにくいのかもって言ってるけど、東海はそういう動画も凄い面白いし愛されてるイメージある,失敗や偽物系は伸びにくいのかもって言ってるけど、東海はそういう動画も凄い面白いし愛されてるイメージある,6,2022-10-19T03:27:01Z,2022-10-19T03:27:01Z
これ普通に、伸びてない他のYouTuberの動画再生回数を伸ばすただただ親切な企画じゃん！,これ普通に、伸びてない他のYouTuberの動画再生回数を伸ばすただただ親切な企画じゃん！,5,2022-10-18T15:53:00Z,2022-10-18T15:53:00Z
毎回おすすめで流れてくる東海オンエアの動画毎回、あ、面白そう。って思ってみるのいつも最新の動画ですごいなーと思う,毎回おすすめで流れてくる東海オンエアの動画毎回、あ、面白そう。って思ってみるのいつも最新の動画ですごいなーと思う,1,2022-10-19T00:26:43Z,2022-10-19T00:26:43Z
他YouTuberの伸びてない動画を救済してあげる東海オンエア神やな,他YouTuberの伸びてない動画を救済してあげる東海オンエア神やな,1,2022-10-18T15:21:07Z,2022-10-18T15:21:07Z
伸びなかった動画を人気が上がったいま、紹介し、みてもらって少しでも再生回数あがるのではないかという…上手いなぁ(笑),伸びなかった動画を人気が上がったいま、紹介し、みてもらって少しでも再生回数あがるのではないかという…上手いなぁ(笑),1,2022-10-18T16:30:07Z,2022-10-18T16:30:07Z
Top YouTuberだから出来ることだが出来ても普通はやらないなのにそれを撮りに行く東海は神に等しいのでは！毎日笑いをありがとう,Top YouTuberだから出来ることだが出来ても普通はやらないなのにそれを撮りに行く東海は神に等しいのでは！毎日笑いをありがとう,241,2022-10-18T12:25:13Z,2022-10-18T12:25:13Z
ちゃんとはじめんの動画が1番面白いのすごいな,ちゃんとはじめんの動画が1番面白いのすごいな,11,2022-10-18T16:47:41Z,2022-10-18T16:47:41Z
この企画をすることで他のYouTuberの伸びなかった動画を輝かせる東海さすが,この企画をすることで他のYouTuberの伸びなかった動画を輝かせる東海さすが,1,2022-10-19T10:51:26Z,2022-10-19T10:51:26Z
はじめん企画も編集も分かりやすい,はじめん企画も編集も分かりやすい,5,2022-10-18T13:59:39Z,2022-10-18T13:59:39Z
企画内容とか編集云々じゃなくて、てっちゃんがはじめんの真似うますぎてすぐ分かったw,企画内容とか編集云々じゃなくて、てっちゃんがはじめんの真似うますぎてすぐ分かったw,2,2022-10-18T14:45:01Z,2022-10-18T14:45:01Z
うわあーもう挨拶とか喋り方とか規模感ではじめしゃちょーわかるうまい,うわあーもう挨拶とか喋り方とか規模感ではじめしゃちょーわかるうまい,4,2022-10-18T13:16:41Z,2022-10-18T13:16:41Z
虫眼鏡、今日毒舌ぶりがすごいな笑笑,虫眼鏡、今日毒舌ぶりがすごいな笑笑,21,2022-10-18T12:43:12Z,2022-10-18T12:43:12Z
これだけのメンツいて、誰も動画使っていただきありがとうございますって言ってこないの珍しいww,これだけのメンツいて、誰も動画使っていただきありがとうございますって言ってこないの珍しいww,7,2022-10-18T15:48:15Z,2022-10-18T15:48:15Z
昔の東海の動画のてつやお気に入りBGM結構すきだから多めに使われてて懐かしさ感じた🥺,昔の東海の動画のてつやお気に入りBGM結構すきだから多めに使われてて懐かしさ感じた🥺,3,2022-10-18T15:34:25Z,2022-10-18T15:34:25Z
トラックアウトくどすぎて笑いどころもなかったから飛ばしてコムドッ〇だろと思って結果見たら似たような人達出てきたからやっぱりなとなった。,トラックアウトくどすぎて笑いどころもなかったから飛ばしてコムドッ〇だろと思って結果見たら似たような人達出てきたからやっぱりなとなった。,17,2022-10-18T13:43:05Z,2022-10-18T13:43:05Z
気になって思い当たるトップYouTuber見てみたら安定して200万前後の再生数出してるの東海でやっぱバケモンやな登録者数関係なくここまで魅力できるの才能では,"気になって思い当たるトップYouTuber見てみたら安定して200万前後の再生数出してるの東海でやっぱバケモンやな
登録者数関係なくここまで魅力できるの才能では",1,2022-10-18T16:07:59Z,2022-10-18T16:07:59Z
てつゆめがやるから面白いってのもあるね笑,てつゆめがやるから面白いってのもあるね笑,1,2022-10-18T15:01:42Z,2022-10-18T15:01:42Z
たまに鋭いとしみつ本当に好き,たまに鋭いとしみつ本当に好き,28,2022-10-18T12:54:20Z,2022-10-18T12:54:20Z
ゆめまるがジャンプしてる絵面面白すぎるな,ゆめまるがジャンプしてる絵面面白すぎるな,9,2022-10-18T13:48:50Z,2022-10-18T13:48:50Z
なんだろう、めっちゃ笑っちゃった、尖り大好き,なんだろう、めっちゃ笑っちゃった、尖り大好き,7,2022-10-18T12:56:11Z,2022-10-18T12:56:11Z
全然関係ないけど、、、「こんにゃく作り対決！」みたいな料理対決系見たい！！,全然関係ないけど、、、「こんにゃく作り対決！」みたいな料理対決系見たい！！,6,2022-10-18T13:29:12Z,2022-10-18T13:29:12Z
これ、伸びてない動画を東海が真似することで結果ちょっと伸びそうな気がするから貢献してるし優しい動画笑笑もしやそれが狙いなんか！？,"これ、伸びてない動画を東海が真似することで結果ちょっと伸びそうな気がするから貢献してるし優しい動画笑笑
もしやそれが狙いなんか！？",3,2022-10-19T03:32:55Z,2022-10-19T03:32:55Z
はじめんの再現動画BGMで何となく分かったからてつやの凝ってる編集よく分かる,はじめんの再現動画BGMで何となく分かったからてつやの凝ってる編集よく分かる,1,2022-10-18T13:35:45Z,2022-10-18T13:35:45Z
東海はなんでかずっと見てられるんだよな,東海はなんでかずっと見てられるんだよな,3,2022-10-18T14:55:33Z,2022-10-18T14:55:33Z
こう考えるとスシラーメンは、何がなんでも成功させるからすごいな,こう考えるとスシラーメンは、何がなんでも成功させるからすごいな,36,2022-10-18T13:31:01Z,2022-10-18T13:31:01Z
必ず100万行くし面白い東海オンエアは凄いね,必ず100万行くし面白い東海オンエアは凄いね,1,2022-10-19T09:39:04Z,2022-10-19T09:39:04Z
動画面白かった。さすが東海オンエアだな。これからも頑張ってほしい！,動画面白かった。さすが東海オンエアだな。これからも頑張ってほしい！,1,2022-10-18T13:33:35Z,2022-10-18T13:33:35Z
動画面白かったし、最後の結論に元気づけられた,動画面白かったし、最後の結論に元気づけられた,1,2022-10-18T13:12:54Z,2022-10-18T13:12:54Z
